source_table,series,model_code,power_kw,speed_rpm,efficiency_pct,cos_phi,tk_over_tdn,tmax_over_tdn
P1.2,DK,DK52-4,7.0,1440,,0.85,1.5,2.0
P1.2,DK,DK62-4,10.0,1460,,0.88,1.3,2.3
P1.2,DK,DK63-4,14.0,1460,,0.88,1.4,2.3
P1.2,DK,DK72-4,20.0,1460,,0.88,1.3,2.3
P1.2,DK,DK73-4,28.0,1460,,0.88,1.4,2.3
P1.2,DK,DK32-6,0.6,930,,0.69,1.2,1.9
P1.2,DK,DK41-6,1.0,930,,0.72,1.3,1.8
P1.2,DK,DK42-6,1.7,930,,0.75,1.4,1.8
P1.2,DK,DK51-6,2.8,950,,0.78,1.3,1.8
P1.2,DK,DK52-6,4.5,950,,0.8,1.5,1.8
P1.2,DK,DK62-6,7.0,960,,0.81,1.4,2.2
P1.2,DK,DK63-6,10.0,960,,0.82,1.4,2.2
P1.2,DK,DK72-6,14.0,980,,0.83,1.4,2.2
P1.2,DK,DK73-6,20.0,975,,0.84,1.4,2.2
P1.2,DK,DK83-6,33.0,980,,0.88,1.4,2.4
P1.2,DK,DK84-6,40.0,980,,0.86,1.5,2.2
P1.2,DK,DK73-8,14.0,730,,0.81,1.3,2.0
P1.2,DK,DK82-8,22.0,730,,0.85,1.4,2.0
P1.2,DK,DK83-8,30.0,730,,0.83,1.4,2.0
P1.2,DK,DK94-8,55.0,735,,0.85,1.8,2.0
P1.2,DK,DK103-8,75.0,735,,0.85,1.3,2.4
P1.3,4A,4A50A2Y3,0.09,2742,60.0,0.7,2.0,2.2
P1.3,4A,4A50B2Y3,0.12,2710,63.0,0.7,2.0,2.2
P1.3,4A,4AA56A2Y3,0.18,2760,66.0,0.76,2.0,2.2
P1.3,4A,4AA63B2Y3,0.25,2760,68.0,0.77,2.0,2.2
P1.3,4A,4AA63A2Y3,0.37,2750,70.0,0.86,2.0,2.2
P1.3,4A,4AA63B2Y3,0.55,2745,73.0,0.86,2.0,2.2
P1.3,4A,4A71A2Y3,0.75,2840,77.0,0.87,2.0,2.2
P1.3,4A,4A71B2Y3,1.1,2810,77.5,0.87,2.0,2.2
P1.3,4A,4A80A2Y3,1.5,2850,81.0,0.85,2.0,2.2
P1.3,4A,4A80B2Y3,2.2,2850,83.0,0.87,2.0,2.2
P1.3,4A,4A90L2Y3,3.0,2838,84.5,0.88,2.0,2.2
P1.3,4A,4A100S2Y3,4.0,2880,86.5,0.89,2.0,2.2
P1.3,4A,4A100L2Y3,5.5,2880,87.5,0.91,2.0,2.2
P1.3,4A,4A112M2Y3,7.5,2922,87.5,0.88,2.0,2.2
P1.3,4A,4A132M2Y3,11.0,2907,88.0,0.9,1.6,2.2
P1.3,4A,4A160S2Y3,15.0,2930,88.0,0.91,1.4,2.2
P1.3,4A,4A160M2Y3,18.5,2930,88.5,0.92,1.4,2.2
P1.3,4A,4A180S2Y3,22.0,2940,88.5,0.91,1.4,2.2
P1.3,4A,4A180M2Y3,30.0,2943,90.5,0.92,1.4,2.2
P1.3,4A,4A200M2Y3,37.0,2943,90.0,0.89,1.4,2.2
P1.3,4A,4A200L2Y3,45.0,2946,91.0,0.9,1.4,2.2
P1.3,4A,4A225M2Y3,55.0,2937,91.0,0.92,1.2,2.2
P1.3,4A,4A250S2Y3,75.0,2958,91.0,0.89,1.2,2.2
P1.3,4A,4A250M2Y3,90.0,2958,92.0,0.9,1.2,2.2
P1.3,4A,4A280S2Y3,110.0,2940,91.0,0.89,1.2,2.2
P1.3,4A,4A280M2Y3,132.0,2940,91.5,0.89,1.2,2.2
P1.3,4A,4A315S2Y3,160.0,2943,92.0,0.9,1.0,1.9
P1.3,4A,4A315M2Y3,200.0,2943,92.5,0.9,1.0,1.9
P1.3,4A,4A355S2Y3,250.0,2943,92.5,0.9,1.0,1.9
P1.3,4A,4A355M2Y3,315.0,2940,93.0,0.91,1.0,1.9
P1.3,4A,4A50A4Y3,0.06,1378,50.0,0.6,2.0,2.2
P1.3,4A,4A50B4Y3,0.09,1370,55.0,0.6,2.0,2.2
P1.3,4A,4AA56A4Y3,0.12,1380,63.0,0.66,2.0,2.2
P1.3,4A,4AA56B4Y3,0.18,1370,64.0,0.64,2.0,2.2
P1.3,4A,4AA63A4Y3,0.25,1380,68.0,0.65,2.0,2.2
P1.3,4A,4AA63B4Y3,0.37,1365,68.0,0.69,2.0,2.2
P1.3,4A,4A71A4Y3,0.55,1370,70.5,0.7,2.0,2.2
P1.3,4A,4A71B4Y3,0.75,1370,72.0,0.73,2.0,2.2
P1.3,4A,4A80A4Y3,1.1,1400,75.0,0.81,2.0,2.2
P1.3,4A,4A80B4Y3,1.5,1400,77.0,0.83,2.0,2.2
P1.3,4A,4A90L4Y3,2.2,1420,80.0,0.83,2.0,2.2
P1.3,4A,4A100S4Y3,3.0,1420,82.0,0.83,2.0,2.2
P1.3,4A,4A100L4Y3,4.0,1420,84.0,0.84,2.0,2.2
P1.3,4A,4A112M4Y3,5.5,1425,85.5,0.85,2.0,2.2
P1.3,4A,4A132S4Y3,7.5,1455,87.5,0.86,2.0,2.2
P1.3,4A,4A132M4Y3,11.0,1458,87.5,0.87,2.0,2.2
P1.3,4A,4A160S4Y3,15.0,1460,89.0,0.88,1.4,2.2
P1.3,4A,4A160M4Y3,18.5,1460,90.0,0.88,1.4,2.2
P1.3,4A,4A180S4Y3,22.0,1470,90.0,0.9,1.4,2.2
P1.3,4A,4A180M4Y3,30.0,1470,91.0,0.9,1.4,2.2
P1.3,4A,4A200M4Y3,37.0,1475,91.0,0.9,1.4,2.2
P1.3,4A,4A200L4Y3,45.0,1473,92.0,0.9,1.4,2.2
P1.3,4A,4A225M4Y3,55.0,1470,92.5,0.9,1.2,2.2
P1.3,4A,4A250S4Y3,75.0,1480,93.0,0.9,1.2,2.2
P1.3,4A,4A250M4Y3,90.0,1480,93.0,0.91,1.2,2.2
P1.3,4A,4A280S4Y3,110.0,1465,92.5,0.9,1.2,2.0
P1.3,4A,4A280M4Y3,132.0,1465,93.0,0.9,1.2,2.0
P1.3,4A,4A315S4Y3,160.0,1470,93.5,0.91,1.0,1.9
P1.3,4A,4A315M4Y3,200.0,1475,94.0,0.92,1.0,1.9
P1.3,4A,4A355S4Y3,250.0,1475,94.5,0.92,1.0,1.9
P1.3,4A,4A355M4Y3,315.0,1475,94.5,0.92,1.0,1.9
P1.3,4A,4AA63A6Y3,0.18,885,56.0,0.62,2.0,2.2
P1.3,4A,4AA63B6Y3,0.25,892,59.0,0.62,2.0,2.2
P1.3,4A,4A71A6Y3,0.37,920,64.5,0.69,2.0,2.2
P1.3,4A,4A71B6Y3,0.55,920,67.5,0.71,2.0,2.2
P1.3,4A,4A80A6Y3,0.75,920,69.0,0.74,2.0,2.2
P1.3,4A,4A80B6Y3,1.1,920,74.0,0.74,2.0,2.2
P1.3,4A,4A90L6Y3,1.5,936,75.0,0.74,2.0,2.2
P1.3,4A,4A100L6Y3,2.2,950,81.0,0.73,2.0,2.2
P1.3,4A,4A112MA6Y3,3.0,945,81.0,0.76,2.0,2.2
P1.3,4A,4A112MB6Y3,4.0,950,82.0,0.81,2.0,2.2
P1.3,4A,4A132S6Y3,5.5,960,85.0,0.8,2.0,2.2
P1.3,4A,4A132M6Y3,7.5,968,85.5,0.81,2.0,2.2
P1.3,4A,4A160S6Y3,11.0,970,86.0,0.86,1.2,2.0
P1.3,4A,4A160M6Y3,15.0,970,87.5,0.87,1.2,2.0
P1.3,4A,4A180M6Y3,18.5,973,88.0,0.87,1.2,2.0
P1.3,4A,4A200M6Y3,22.0,975,90.0,0.9,1.2,2.0
P1.3,4A,4A200L6Y3,30.0,977,90.5,0.9,1.2,2.0
P1.3,4A,4A225M6Y3,37.0,980,91.0,0.89,1.2,2.0
P1.3,4A,4A250S6Y3,45.0,985,91.5,0.89,1.2,2.0
P1.3,4A,4A250M6Y3,55.0,985,92.0,0.89,1.2,2.0
P1.3,4A,4A280S6Y3,75.0,980,92.0,0.89,1.2,1.9
P1.3,4A,4A280M6Y3,90.0,980,92.5,0.89,1.2,1.9
P1.3,4A,4A315S6Y3,110.0,980,93.0,0.9,1.0,1.9
P1.3,4A,4A315M6Y3,132.0,980,93.5,0.9,1.0,1.9
P1.3,4A,4A355S6Y3,160.0,982,93.5,0.9,1.0,1.9
P1.3,4A,4A355M6Y3,200.0,982,94.0,0.9,1.0,1.9
P1.3,4A,4A71B8Y3,0.25,680,56.0,0.65,1.6,1.7
P1.3,4A,4A80A8Y3,0.37,675,61.5,0.65,1.6,1.7
P1.3,4A,4A80B8Y3,0.55,675,64.0,0.65,1.6,1.7
P1.3,4A,4A90LA8Y3,0.75,705,68.0,0.62,1.6,1.7
P1.3,4A,4A90LB8Y3,1.1,698,70.0,0.68,1.6,1.7
P1.3,4A,4A100L8Y3,1.5,698,74.0,0.65,1.6,1.7
P1.3,4A,4A112MA8Y3,2.2,705,76.5,0.71,1.8,2.2
P1.3,4A,4A112MB8Y3,3.0,701,79.0,0.74,1.8,2.2
P1.3,4A,4A132S8Y3,4.0,720,83.0,0.7,1.8,2.2
P1.3,4A,4A132M8Y3,5.5,716,83.0,0.74,1.8,2.2
P1.3,4A,4A160S8Y3,7.5,730,86.0,0.75,1.4,2.2
P1.3,4A,4A160M8Y3,11.0,730,87.0,0.75,1.4,2.2
P1.3,4A,4A180M8Y3,15.0,730,87.5,0.82,1.2,2.0
P1.3,4A,4A200M8Y3,18.5,731,88.5,0.84,1.2,2.2
P1.3,4A,4A200L8Y3,22.0,730,88.5,0.84,1.2,2.0
P1.3,4A,4A225M8Y3,30.0,735,90.0,0.81,1.2,2.0
P1.3,4A,4A250S8Y3,37.0,738,90.0,0.83,1.2,2.0
P1.3,4A,4A250M8Y3,45.0,740,91.5,0.84,1.2,2.0
P1.3,4A,4A280S8Y3,55.0,734,92.0,0.84,1.2,1.9
P1.3,4A,4A280M8Y3,75.0,734,92.5,0.85,1.2,1.9
P1.3,4A,4A315S8Y3,90.0,735,93.0,0.85,1.0,1.9
P1.3,4A,4A315M8Y3,110.0,735,93.0,0.85,1.0,1.9
P1.3,4A,4A355S8Y3,132.0,735,93.5,0.85,1.0,1.9
P1.3,4A,4A355M8Y3,160.0,735,93.5,0.85,1.0,1.9
P1.3,4A,4A250S10Y3,30.0,590,88.0,0.81,1.2,1.9
P1.3,4A,4A250M10Y3,37.0,590,89.0,0.81,1.2,1.9
P1.3,4A,4A280S10Y3,37.0,588,91.0,0.78,1.0,1.8
P1.3,4A,4A280M10Y3,45.0,588,91.5,0.78,1.0,1.8
P1.3,4A,4A315S10Y3,55.0,588,92.0,0.79,1.0,1.8
P1.3,4A,4A315M10Y3,75.0,588,92.0,0.8,1.0,1.8
P1.3,4A,4A355S10Y3,90.0,588,92.5,0.83,1.0,1.8
P1.3,4A,4A355M10Y3,110.0,588,93.0,0.83,1.0,1.8
P1.3,4A,4A315S12Y3,45.0,488,90.5,0.75,1.0,1.8
P1.3,4A,4A315M12Y3,55.0,488,91.0,0.75,1.0,1.8
P1.3,4A,4A355S12Y3,75.0,490,91.5,0.76,1.0,1.8
P1.3,4A,4A355M12Y3,90.0,490,92.0,0.76,1.0,1.8
